<Trait>	GerminationCount	DaystoSilk	DaysToTassel	GDDDaystoSilk	GDDDaystoTassel	GDDAnthesis-SilkingInterval	TasselLength	MainSpikeLength	TasselPrimaryBranches	TasselBranchLength	SecondaryBranchNumber	PlantHeight	EarHeight	LeafLength	LeafWidth	UpperLeafAngle	MiddleLeafAngle	TilleringIndex	NIRStarch	NIRProtein	NIROil	NorthernLeafBlight	CobDiameter	CobWeight	EarDiameter	EarLength	SeedSetLength	EarRowNumber	TotalKernelVolume	EarWeight	EarRankNumber	20KernelWeight	RowQuality
F6	5	105	105	964.80278	964.80278	0	410	238	20	266	6	175	100	878	107	75	75	NaN	NaN	NaN	NaN	2	21.5	11.8	33.5	129	106.5	12	30	32	22	3.05	2
F7	7	72	72	620.360555	620.360555	0	295	293	1	168	0	85	45	663	60	NaN	NaN	NaN	NaN	NaN	NaN	7	23	8.2	33	126	119	10	50	36	18	3.7	1
GA209	4	121	NaN	964.80278	NaN	NaN	383	248	18	256	4	160	85	821	81	75	60	NaN	NaN	NaN	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
GT112	5	NaN	NaN	NaN	NaN	NaN	281	228	13	188	2	NaN	NaN	NaN	NaN	NaN	70	NaN	NaN	NaN	NaN	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4
H105W	10	88	85	847.05278	793.884445	53.163335	376.5	280.5	7	186	0	135	60	824	64	35	67.5	NaN	63.01	15.38	3.82	4	NaN	NaN	47	189	172	16	NaN	99	37	NaN	1
H49	5	89	87	860.19222	832.163335	28.02389	287	205	7	222	3	155	60	760	114	35	45	NaN	69.92	14.02	4.01	4	23	14.3	39	169	148	18	90	139	34	5.2	2
H84	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
H91	8	104	100	964.80278	964.80278	0	323.5	273.5	6	210	1	145	60	780	82	50	75	0	66.17	14.63	3.51	4	26	16.7	43	164	120	14	50	45	16	3.8	1
H95	7	97	93	936.94222	904.77389	32.163335	356.5	249.5	12.5	262	2	120	45	678	78	70	65	0	70.85	11.87	3.48	2	27	25.5	34	149.5	NaN	14	60	50	NaN	4.6	1
H99	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
